article_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
267,N,Y,Y,N,Y,N,Y
294,Y,Y,N,N,Y,N,Y
327,N,Y,N,N,Y,N,Y
354,Y,Y,N,Y,Y,N,Y
360,Y,Y,N,N,Y,N,Y
361,Y,Y,Y,N,Y,N,Y
365,Y,Y,N,N,Y,N,Y
389,Y,Y,N,Y,Y,N,Y
490,Y,Y,N,N,Y,N,Y
492,N,Y,N,N,Y,N,Y
510,N,Y,N,N,Y,N,Y
542,Y,Y,Y,N,Y,N,Y
550,Y,Y,N,Y,Y,N,Y
577,Y,Y,N,N,Y,N,Y
578,N,Y,N,N,Y,N,Y
579,Y,Y,N,Y,Y,N,Y
582,Y,Y,N,N,Y,N,Y
586,Y,Y,N,Y,Y,N,Y
596,N,Y,N,N,Y,N,Y
630,N,Y,N,Y,Y,N,Y
646,Y,Y,Y,Y,Y,N,Y
701,N,Y,N,Y,Y,N,Y
741,N,Y,Y,Y,Y,N,Y
743,N,Y,N,N,Y,Y,N
747,N,Y,Y,N,Y,N,Y
753,Y,Y,N,N,Y,N,Y
793,N,Y,N,N,Y,Y,Y
796,N,Y,Y,Y,Y,N,Y
799,Y,Y,N,Y,Y,N,Y
801,N,Y,N,N,Y,Y,N
811,Y,Y,N,Y,Y,N,Y
813,Y,Y,Y,N,Y,N,Y
868,Y,N,Y,N,Y,Y,Y
876,Y,Y,N,N,Y,N,Y
889,Y,Y,N,N,Y,N,Y
903,Y,Y,N,N,Y,N,Y
909,Y,Y,N,N,Y,N,Y
944,Y,Y,N,Y,Y,N,Y
945,Y,Y,N,N,Y,N,Y
955,Y,Y,N,N,Y,Y,Y
981,Y,N,Y,N,Y,N,Y
993,Y,N,N,N,Y,N,Y
995,Y,Y,N,N,Y,Y,Y
1012,Y,Y,N,N,Y,N,Y
3096,Y,Y,N,N,Y,N,Y
3411,Y,Y,N,N,Y,N,Y
